symbol_id;filename;codepoint;width;height;total_mass;mass_q1;mass_q2;mass_q3;mass_q4;specific_q1;specific_q2;specific_q3;specific_q4;x_c;y_c;x_c_norm;y_c_norm;i_x;i_y;i_x_norm;i_y_norm;profile_file
01_U+2C00;01_U+2C00.png;U+2C00;28;37;376.0;76;59;125;116;0.30158730158730157;0.23412698412698413;0.4699248120300752;0.43609022556390975;13.409574468085106;19.23404255319149;0.4966509062253743;0.5342789598108747;23823.404255319147;19212.925531914894;0.04888897970703463;0.07009356131948054;profiles_xy/01_U+2C00_profile_xy.png
02_U+2C01;02_U+2C01.png;U+2C01;28;37;588.0;175;162;162;89;0.6944444444444444;0.6428571428571429;0.6090225563909775;0.33458646616541354;11.923469387755102;17.35544217687075;0.44160997732426305;0.4820956160241875;72498.71258503402;46479.55612244898;0.09513667457303743;0.10843191241951275;profiles_xy/02_U+2C01_profile_xy.png
03_U+2C02;03_U+2C02.png;U+2C02;48;38;784.0;254;254;138;138;0.5570175438596491;0.5570175438596491;0.3026315789473684;0.3026315789473684;23.6109693877551;15.626275510204081;0.5023610508033001;0.42233177054605625;85473.4987244898;131454.3456632653;0.07963646442779046;0.07590373891551336;profiles_xy/03_U+2C02_profile_xy.png
04_U+2C03;04_U+2C03.png;U+2C03;41;38;650.0;233;51;129;237;0.6131578947368421;0.12781954887218044;0.3394736842105263;0.5939849624060151;18.963076923076922;19.726153846153846;0.47407692307692306;0.5331392931392931;68389.25538461538;76609.11384615384;0.07685481304109161;0.0736626094674556;profiles_xy/04_U+2C03_profile_xy.png
05_U+2C04;05_U+2C04.png;U+2C04;48;38;779.0;143;141;246;249;0.31359649122807015;0.3092105263157895;0.5394736842105263;0.5460526315789473;23.562259306803593;21.177150192554556;0.5013246661022042;0.5723554106095826;84503.55327342747;129403.73042362003;0.07923810214761623;0.07519926966042176;profiles_xy/05_U+2C04_profile_xy.png
06_U+2C05;06_U+2C05.png;U+2C05;22;38;451.0;91;141;86;133;0.4354066985645933;0.6746411483253588;0.41148325358851673;0.6363636363636364;12.184035476718403;18.212860310421284;0.5801921655580192;0.4922394678492239;58815.56541019956;16829.725055432373;0.09526037489970274;0.08461783115089357;profiles_xy/06_U+2C05_profile_xy.png
07_U+2C06;07_U+2C06.png;U+2C06;47;38;795.0;142;152;250;251;0.32494279176201374;0.3333333333333333;0.5720823798627003;0.5504385964912281;23.010062893081763;21.355974842767296;0.5002187585452557;0.577188509263981;77756.25911949686;115735.91949685533;0.0714438387470052;0.06879951462760836;profiles_xy/07_U+2C06_profile_xy.png
08_U+2C07;08_U+2C07.png;U+2C07;37;38;598.0;109;123;175;191;0.31871345029239767;0.3407202216066482;0.5116959064327485;0.5290858725761773;17.81103678929766;19.180602006688964;0.494751021924935;0.5183946488294314;55662.49498327759;31263.647157190637;0.06799203454328842;0.04033977346968114;profiles_xy/08_U+2C07_profile_xy.png
09_U+2C08;09_U+2C08.png;U+2C08;46;38;808.0;240;83;215;270;0.5491990846681922;0.18993135011441648;0.4919908466819222;0.6178489702517163;20.72029702970297;20.794554455445546;0.4604510451045104;0.5620149852823121;74197.89603960395;133612.78712871287;0.0670774866741677;0.08166042484336442;profiles_xy/09_U+2C08_profile_xy.png
10_U+2C09;10_U+2C09.png;U+2C09;50;37;829.0;294;293;121;121;0.6533333333333333;0.6511111111111111;0.25473684210526315;0.25473684210526315;24.447527141133897;12.891435464414958;0.4989291253292632;0.3580954295670822;72404.22919179735;130992.96743063931;0.06739138817387205;0.06581142428624147;profiles_xy/10_U+2C09_profile_xy.png
11_U+2C0A;11_U+2C0A.png;U+2C0A;50;37;986.0;292;292;202;200;0.6488888888888888;0.6488888888888888;0.42526315789473684;0.42105263157894735;24.453346855983774;15.634888438133874;0.499047895020077;0.43430245661482986;114832.55983772817;147114.35395537526;0.08986345866649151;0.06214210692948901;profiles_xy/11_U+2C0A_profile_xy.png
12_U+2C0B;12_U+2C0B.png;U+2C0B;30;38;627.0;185;189;126;127;0.6491228070175439;0.6631578947368421;0.4421052631578947;0.4456140350877193;14.657097288676235;16.59011164274322;0.5054171478853874;0.4483813957498168;83983.65869218501;46013.27591706539;0.09784165754137236;0.08726088581616664;profiles_xy/12_U+2C0B_profile_xy.png
13_U+2C0C;13_U+2C0C.png;U+2C0C;38;37;699.0;163;200;193;143;0.4766081871345029;0.5847953216374269;0.5346260387811634;0.3961218836565097;18.267525035765377;17.470672389127326;0.4937168928585237;0.4852964552535368;74624.14878397711;80146.97281831189;0.08237533864954467;0.08375418166859668;profiles_xy/13_U+2C0C_profile_xy.png
14_U+2C0D;14_U+2C0D.png;U+2C0D;16;37;284.0;90;55;82;57;0.625;0.3819444444444444;0.5394736842105263;0.375;6.338028169014085;17.845070422535212;0.4225352112676057;0.4956964006259781;25087.18309859155;7191.549295774648;0.06815983931759573;0.11254380744561265;profiles_xy/14_U+2C0D_profile_xy.png
15_U+2C0E;15_U+2C0E.png;U+2C0E;48;38;793.0;161;159;238;235;0.3530701754385965;0.34868421052631576;0.5219298245614035;0.5153508771929824;23.460277427490542;20.9281210592686;0.4991548388827775;0.565624893493746;85066.9029003783;127246.99873896595;0.0783581160762758;0.07264046985304641;profiles_xy/15_U+2C0E_profile_xy.png
16_U+2C0F;16_U+2C0F.png;U+2C0F;54;38;1155.0;329;338;244;244;0.6413255360623782;0.6588693957115009;0.4756335282651072;0.4756335282651072;26.533333333333335;16.46147186147186;0.5006289308176101;0.4449046449046449;140741.0354978355;233679.46666666665;0.08900928443223985;0.07202559080095569;profiles_xy/16_U+2C0F_profile_xy.png
17_U+2C10;17_U+2C10.png;U+2C10;32;37;468.0;106;144;176;42;0.3680555555555556;0.5;0.5789473684210527;0.13815789473684212;15.224358974358974;15.679487179487179;0.4911083540115798;0.4355413105413105;46099.92307692308;31251.44230769231;0.07600625705148498;0.06948656204739612;profiles_xy/17_U+2C10_profile_xy.png
18_U+2C11;18_U+2C11.png;U+2C11;19;38;491.0;107;138;110;136;0.6257309941520468;0.7263157894736842;0.6432748538011696;0.7157894736842105;9.539714867617107;18.409368635437882;0.5299841593120616;0.4975505036604833;55658.71690427699;14685.975560081468;0.08280341531686797;0.09231585552338052;profiles_xy/18_U+2C11_profile_xy.png
19_U+2C12;19_U+2C12.png;U+2C12;31;37;519.0;162;198;126;33;0.6;0.6875;0.4421052631578947;0.10855263157894737;13.951830443159922;13.175337186897881;0.4650610147719974;0.3659815885249411;47131.044315992294;38473.795761078996;0.07007041722565995;0.08236736407852494;profiles_xy/19_U+2C12_profile_xy.png
20_U+2C13;20_U+2C13.png;U+2C13;20;37;386.0;115;10;140;121;0.6388888888888888;0.05555555555555555;0.7368421052631579;0.6368421052631579;7.046632124352332;21.39119170984456;0.3708753749659122;0.5941997697179044;37671.93005181347;13629.160621761657;0.07530530378808743;0.0978080506204818;profiles_xy/20_U+2C13_profile_xy.png
