index,filename,char,codepoint_hex,unicode_name,font,font_size
1,01_U+2C00.png,Ⰰ,U+2C00,GLAGOLITIC CAPITAL LETTER AZU,seguihis.ttf,52
2,02_U+2C01.png,Ⰱ,U+2C01,GLAGOLITIC CAPITAL LETTER BUKY,seguihis.ttf,52
3,03_U+2C02.png,Ⰲ,U+2C02,GLAGOLITIC CAPITAL LETTER VEDE,seguihis.ttf,52
4,04_U+2C03.png,Ⰳ,U+2C03,GLAGOLITIC CAPITAL LETTER GLAGOLI,seguihis.ttf,52
5,05_U+2C04.png,Ⰴ,U+2C04,GLAGOLITIC CAPITAL LETTER DOBRO,seguihis.ttf,52
6,06_U+2C05.png,Ⰵ,U+2C05,GLAGOLITIC CAPITAL LETTER YESTU,seguihis.ttf,52
7,07_U+2C06.png,Ⰶ,U+2C06,GLAGOLITIC CAPITAL LETTER ZHIVETE,seguihis.ttf,52
8,08_U+2C07.png,Ⰷ,U+2C07,GLAGOLITIC CAPITAL LETTER DZELO,seguihis.ttf,52
9,09_U+2C08.png,Ⰸ,U+2C08,GLAGOLITIC CAPITAL LETTER ZEMLJA,seguihis.ttf,52
10,10_U+2C09.png,Ⰹ,U+2C09,GLAGOLITIC CAPITAL LETTER IZHE,seguihis.ttf,52
11,11_U+2C0A.png,Ⰺ,U+2C0A,GLAGOLITIC CAPITAL LETTER INITIAL IZHE,seguihis.ttf,52
12,12_U+2C0B.png,Ⰻ,U+2C0B,GLAGOLITIC CAPITAL LETTER I,seguihis.ttf,52
13,13_U+2C0C.png,Ⰼ,U+2C0C,GLAGOLITIC CAPITAL LETTER DJERVI,seguihis.ttf,52
14,14_U+2C0D.png,Ⰽ,U+2C0D,GLAGOLITIC CAPITAL LETTER KAKO,seguihis.ttf,52
15,15_U+2C0E.png,Ⰾ,U+2C0E,GLAGOLITIC CAPITAL LETTER LJUDIJE,seguihis.ttf,52
16,16_U+2C0F.png,Ⰿ,U+2C0F,GLAGOLITIC CAPITAL LETTER MYSLITE,seguihis.ttf,52
17,17_U+2C10.png,Ⱀ,U+2C10,GLAGOLITIC CAPITAL LETTER NASHI,seguihis.ttf,52
18,18_U+2C11.png,Ⱁ,U+2C11,GLAGOLITIC CAPITAL LETTER ONU,seguihis.ttf,52
19,19_U+2C12.png,Ⱂ,U+2C12,GLAGOLITIC CAPITAL LETTER POKOJI,seguihis.ttf,52
20,20_U+2C13.png,Ⱃ,U+2C13,GLAGOLITIC CAPITAL LETTER RITSI,seguihis.ttf,52
21,21_U+2C14.png,Ⱄ,U+2C14,GLAGOLITIC CAPITAL LETTER SLOVO,seguihis.ttf,52
22,22_U+2C15.png,Ⱅ,U+2C15,GLAGOLITIC CAPITAL LETTER TVRIDO,seguihis.ttf,52
23,23_U+2C2B.png,Ⱛ,U+2C2B,GLAGOLITIC CAPITAL LETTER IZHITSA,seguihis.ttf,52
24,24_U+2C16.png,Ⱆ,U+2C16,GLAGOLITIC CAPITAL LETTER UKU,seguihis.ttf,52
25,25_U+2C17.png,Ⱇ,U+2C17,GLAGOLITIC CAPITAL LETTER FRITU,seguihis.ttf,52
26,26_U+2C18.png,Ⱈ,U+2C18,GLAGOLITIC CAPITAL LETTER HERU,seguihis.ttf,52
27,27_U+2C19.png,Ⱉ,U+2C19,GLAGOLITIC CAPITAL LETTER OTU,seguihis.ttf,52
28,28_U+2C1A.png,Ⱊ,U+2C1A,GLAGOLITIC CAPITAL LETTER PE,seguihis.ttf,52
29,29_U+2C1B.png,Ⱋ,U+2C1B,GLAGOLITIC CAPITAL LETTER SHTA,seguihis.ttf,52
30,30_U+2C1C.png,Ⱌ,U+2C1C,GLAGOLITIC CAPITAL LETTER TSI,seguihis.ttf,52
31,31_U+2C1D.png,Ⱍ,U+2C1D,GLAGOLITIC CAPITAL LETTER CHRIVI,seguihis.ttf,52
32,32_U+2C1E.png,Ⱎ,U+2C1E,GLAGOLITIC CAPITAL LETTER SHA,seguihis.ttf,52
33,33_U+2C1F.png,Ⱏ,U+2C1F,GLAGOLITIC CAPITAL LETTER YERU,seguihis.ttf,52
34,34_U+2C20.png,Ⱐ,U+2C20,GLAGOLITIC CAPITAL LETTER YERI,seguihis.ttf,52
35,35_U+2C21.png,Ⱑ,U+2C21,GLAGOLITIC CAPITAL LETTER YATI,seguihis.ttf,52
36,36_U+2C22.png,Ⱒ,U+2C22,GLAGOLITIC CAPITAL LETTER SPIDERY HA,seguihis.ttf,52
37,37_U+2C23.png,Ⱓ,U+2C23,GLAGOLITIC CAPITAL LETTER YU,seguihis.ttf,52
38,38_U+2C24.png,Ⱔ,U+2C24,GLAGOLITIC CAPITAL LETTER SMALL YUS,seguihis.ttf,52
39,39_U+2C26.png,Ⱖ,U+2C26,GLAGOLITIC CAPITAL LETTER YO,seguihis.ttf,52
40,40_U+2C27.png,Ⱗ,U+2C27,GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS,seguihis.ttf,52
41,41_U+2C28.png,Ⱘ,U+2C28,GLAGOLITIC CAPITAL LETTER BIG YUS,seguihis.ttf,52
42,42_U+2C29.png,Ⱙ,U+2C29,GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS,seguihis.ttf,52
43,43_U+2C2A.png,Ⱚ,U+2C2A,GLAGOLITIC CAPITAL LETTER FITA,seguihis.ttf,52
