rank,time_start_s,time_center_s,time_end_s,freq_from_hz,freq_to_hz,energy_linear,energy_db
1,4.850,4.900,4.950,200.0,250.0,1.4522175009e-02,-18.3797
2,7.250,7.300,7.350,250.0,300.0,1.4106122032e-02,-18.5059
3,3.050,3.100,3.150,300.0,350.0,1.3330798313e-02,-18.7514
4,1.050,1.100,1.150,150.0,200.0,1.2297378576e-02,-19.1019
5,1.650,1.700,1.750,200.0,250.0,1.1803046816e-02,-19.2801
6,10.250,10.300,10.350,200.0,250.0,1.1538982673e-02,-19.3783
7,9.350,9.400,9.450,250.0,300.0,1.1200178267e-02,-19.5078
8,4.150,4.200,4.250,200.0,250.0,1.0369445916e-02,-19.8424
9,8.350,8.400,8.450,300.0,350.0,1.0362607533e-02,-19.8453
10,2.250,2.300,2.350,250.0,300.0,8.9831196260e-03,-20.4657
